"x","y","median","sd","q0.025","q0.975","cv"
756013.655815304,7518612.71434732,13.0814155759264,31.4040653348521,2.12131981506011,129.480625247447,1.28686848731768
756034.897101315,7518612.71434732,12.986909628336,33.3349739948372,2.09008050763097,131.189483554565,1.33616832213987
756056.138387327,7518612.71434732,13.127505441836,33.6470434004877,2.10069090826455,127.872221887685,1.34893112328297
756077.379673338,7518612.71434732,12.984408669957,31.3926590305637,2.19094304596039,117.904912522646,1.3025155461076
756098.620959349,7518612.71434732,12.4388644302697,29.414000875051,2.29091268076993,108.723706947369,1.25731127309373
756119.86224536,7518612.71434732,12.3722758613,27.6965325413978,2.39238830277337,100.265928928548,1.21395173750632
756141.103531371,7518612.71434732,12.8242052312401,26.2353654605827,2.5016746911761,92.4739488722583,1.17335742569728
756162.344817382,7518612.71434732,13.1687190847077,25.0350704140031,2.47755160787178,85.2947739033558,1.13673927681445
756183.586103393,7518612.71434732,12.9068173282039,24.1097257418871,2.43947996604232,84.2978837007119,1.10558544128384
756204.827389404,7518612.71434732,12.804443240539,23.4830043618948,2.39363171162125,84.9555698184693,1.08161962153406
756226.068675415,7518612.71434732,13.4342848536783,23.1880898155659,2.31226159200281,86.3333621306232,1.06671920767283
756247.309961426,7518612.71434732,13.5791448264938,22.8189085735437,2.28425119128472,84.2299373340564,1.05146404264152
756268.551247438,7518612.71434732,14.1565139582576,22.0381089736846,2.38202068212855,76.3176740927088,1.02522757049754
756289.792533449,7518612.71434732,14.4397941858478,21.6541233235423,2.44611852686227,70.0714419905421,1.01077608907426
756311.03381946,7518612.71434732,15.718331386265,21.6532733676402,2.31659655627044,73.0237501916197,1.00785460972415
756332.275105471,7518612.71434732,16.8331535720128,22.0478241262133,2.17661229572072,82.5427937572521,1.01686150660365
756353.516391482,7518612.71434732,16.9019423855575,22.8791655615189,2.04626626986424,94.1168071922852,1.03892445745116
756374.757677493,7518612.71434732,16.6306105053001,24.219986698093,1.92194335297219,98.1982685724857,1.07584537258735
756395.998963504,7518612.71434732,17.0431517568947,26.1755773609042,1.80903762510222,100.236796140309,1.12990602902326
756417.240249515,7518612.71434732,18.0191654071631,28.8843314069876,1.70639748604835,102.319340611479,1.20355555591768
756438.481535526,7518612.71434732,17.0431663998005,29.8769451795332,1.57278852501704,107.92887013944,1.23450551692972
756459.722821538,7518612.71434732,16.288777735155,30.1544454210132,1.43749649365832,115.400343619247,1.24423118569909
756480.964107549,7518612.71434732,15.7565712691964,29.3910589605665,1.43261662154334,116.851898213106,1.23392457269391
756502.20539356,7518612.71434732,15.806360389562,27.8946855679899,1.5436623222918,113.612590911688,1.20975024443779
756523.446679571,7518612.71434732,15.3646056721969,26.6214972297671,1.66095500401488,103.447757043087,1.18868526193076
756544.687965582,7518612.71434732,14.3909691412873,25.550118564201,1.78895920068863,94.0650154209996,1.17075056942569
756565.929251593,7518612.71434732,13.4346774357772,24.663660276289,1.93081479479048,85.5979290894621,1.15600258155461
756587.170537604,7518612.71434732,13.0498654508129,23.9491827011339,1.98514834081974,78.7318077579367,1.14453414768687
756608.411823615,7518612.71434732,12.6400343841688,23.3972492079062,1.87663568637045,75.4778489788275,1.13647349103086
756629.653109626,7518612.71434732,12.9153475239584,22.212131659738,1.80482954795253,72.7675052549048,1.11717920869929
