"","x","y","layer"
"1",756985.279123884,7521287.5004698,8.01206666666667
"2",756985.279123884,7521275.34615339,8.01206666666667
"3",757003.914203465,7521275.34615339,8.8345
"4",756966.644044303,7521263.19183699,8.3749
"5",756985.279123884,7521263.19183699,8.01206666666667
"6",757003.914203465,7521263.19183699,8.8345
"7",756966.644044303,7521251.03752059,8.3749
"8",756985.279123884,7521251.03752059,8.01206666666667
"9",757003.914203465,7521251.03752059,8.8345
"10",757022.549283046,7521251.03752059,8.7625
"11",756966.644044303,7521238.88320418,8.3749
"12",756985.279123884,7521238.88320418,8.01206666666667
"13",757003.914203465,7521238.88320418,8.8345
"14",757022.549283046,7521238.88320418,8.7625
"15",756948.008964722,7521226.72888778,8.3749
"16",756966.644044303,7521226.72888778,8.3749
"17",756985.279123884,7521226.72888778,8.01206666666667
"18",757003.914203465,7521226.72888778,8.8345
"19",757022.549283046,7521226.72888778,8.7625
"20",756948.008964722,7521214.57457138,8.3749
"21",756966.644044303,7521214.57457138,8.3749
"22",756985.279123884,7521214.57457138,8.01206666666667
"23",757003.914203465,7521214.57457138,8.8345
"24",757022.549283046,7521214.57457138,8.7625
"25",756929.373885141,7521202.42025497,9.74443333333333
"26",756948.008964722,7521202.42025497,8.3749
"27",756966.644044303,7521202.42025497,8.3749
"28",756985.279123884,7521202.42025497,8.01206666666667
"29",757003.914203465,7521202.42025497,8.8345
"30",757022.549283046,7521202.42025497,8.7625
"31",757041.184362627,7521202.42025497,9.74333333333333
"32",756929.373885141,7521190.26593857,9.74443333333333
"33",756948.008964722,7521190.26593857,8.3749
"34",756966.644044303,7521190.26593857,8.3749
"35",756985.279123884,7521190.26593857,8.01206666666667
"36",757003.914203465,7521190.26593857,8.8345
"37",757022.549283046,7521190.26593857,8.7625
"38",757041.184362627,7521190.26593857,9.74333333333333
"39",756910.73880556,7521178.11162217,9.81193333333333
"40",756929.373885141,7521178.11162217,9.74443333333333
"41",756948.008964722,7521178.11162217,8.3749
"42",756966.644044303,7521178.11162217,8.3749
"43",756985.279123884,7521178.11162217,8.01206666666667
"44",757003.914203465,7521178.11162217,8.8345
"45",757022.549283046,7521178.11162217,8.7625
"46",757041.184362627,7521178.11162217,9.74333333333333
"47",756910.73880556,7521165.95730576,9.81193333333333
"48",756929.373885141,7521165.95730576,9.74443333333333
"49",756948.008964722,7521165.95730576,8.3749
"50",756966.644044303,7521165.95730576,8.3749
"51",756985.279123884,7521165.95730576,8.01206666666667
"52",757003.914203465,7521165.95730576,8.8345
"53",757022.549283046,7521165.95730576,8.7625
"54",757041.184362627,7521165.95730576,9.74333333333333
"55",756892.103725979,7521153.80298936,8.30503333333333
"56",756910.73880556,7521153.80298936,8.50253333333333
"57",756929.373885141,7521153.80298936,8.41903333333333
"58",756948.008964722,7521153.80298936,6.71896666666666
"59",756966.644044303,7521153.80298936,6.71896666666666
"60",756985.279123884,7521153.80298936,6.30613333333333
"61",757003.914203465,7521153.80298936,7.42996666666667
"62",757022.549283046,7521153.80298936,7.35796666666667
"63",757041.184362627,7521153.80298936,8.61766666666667
"64",756892.103725979,7521141.64867296,7.99483333333333
"65",756910.73880556,7521141.64867296,8.19233333333333
"66",756929.373885141,7521141.64867296,8.10883333333333
"67",756948.008964722,7521141.64867296,6.37946666666666
"68",756966.644044303,7521141.64867296,6.37946666666666
"69",756985.279123884,7521141.64867296,5.96463333333333
"70",757003.914203465,7521141.64867296,7.1396
"71",757022.549283046,7521141.64867296,7.0676
"72",757041.184362627,7521141.64867296,8.44900000000001
"73",756873.468646398,7521129.49435655,6.11723333333333
"74",756892.103725979,7521129.49435655,7.99483333333333
"75",756910.73880556,7521129.49435655,8.19233333333333
"76",756929.373885141,7521129.49435655,8.10883333333333
"77",756948.008964722,7521129.49435655,6.37946666666666
"78",756966.644044303,7521129.49435655,6.37946666666666
