"POINT_X","POINT_Y","Ca"
755805.25,7518297.781,40.65610484008921
755805.25,7518315.499281407,40.608078055959524
755805.25,7518333.217562814,40.55894459591286
755805.25,7518350.935844221,40.50869515176886
755805.25,7518368.654125629,40.457326340891434
755805.25,7518386.372407036,40.404841588894364
755805.25,7518404.090688443,40.351252089868574
755805.25,7518421.80896985,40.296577845650305
755805.25,7518439.527251257,40.24084878448953
755805.25,7518457.245532664,40.184105958095
755805.25,7518474.96381407,40.12640281425429
755805.25,7518492.682095477,40.06780653994368
755805.25,7518510.400376885,40.00839946732103
755805.25,7518528.118658292,39.94828053191732
755805.25,7518545.836939699,39.88756676854253
755805.25,7518563.555221106,39.82639482632807
755805.25,7518581.273502513,39.76492247953641
755805.25,7518598.99178392,39.703330105057205
755805.25,7518616.710065327,39.64182209163876
755805.25,7518634.428346734,39.580628138980714
755805.25,7518652.146628141,39.520004397338965
755805.25,7518669.864909548,39.46023439036257
755805.25,7518687.583190955,39.40162965526049
755805.25,7518705.301472362,39.344530025378006
755805.25,7518723.019753769,39.28930347103872
755805.25,7518740.738035176,39.23634540473596
755805.25,7518758.456316583,39.18607734763312
755805.25,7518776.174597991,39.138944844273794
755805.25,7518793.892879398,39.09541450391505
755805.25,7518811.6111608045,39.05597003750982
755805.25,7518829.329442211,39.02110715122457
755805.25,7518847.047723618,38.991327149128125
755805.25,7518864.766005025,38.96712908950721
755805.25,7518882.484286432,38.949000330511915
755805.25,7518900.202567839,38.93740529050451
755805.25,7518917.920849247,38.93277223513372
755805.25,7518935.639130654,38.93547788443339
755805.25,7518953.357412061,38.945829605933426
755805.25,7518971.075693468,38.96404491935726
755805.25,7518988.793974875,38.990227977721574
755805.25,7519006.512256281,39.02434260030299
755805.25,7519024.230537688,39.06618130058686
755805.25,7519041.948819095,39.115329559570085
755805.25,7519059.667100503,39.17112431484297
755805.25,7519077.38538191,39.232605231790046
755805.25,7519095.103663317,39.298456742609126
755805.25,7519112.821944724,39.36693800722131
755805.25,7519130.540226131,39.43579676469524
755805.25,7519148.258507538,39.50216136558326
755805.25,7519165.976788945,39.562402929867716
755805.25,7519183.695070352,39.611956372239106
755805.25,7519201.413351759,39.64508486029358
755805.25,7519219.131633166,39.6545673250786
755805.25,7519236.849914573,39.631284095724844
755805.25,7519254.56819598,39.563675231223726
755805.25,7519272.286477387,39.43705915622603
755805.25,7519290.004758794,39.23284780342073
755805.25,7519307.723040201,38.927825590604854
755805.25,7519325.441321609,38.493973307032405
755805.25,7519343.1596030155,37.90013541826572
755805.25,7519360.877884422,37.120781679616144
755805.25,7519378.596165829,36.22814962462113
755805.25,7519396.314447236,36.98858340303496
755805.25,7519414.032728643,38.68402049209891
755805.25,7519431.75101005,40.146445862124196
755805.25,7519449.469291457,41.32721490874759
755805.25,7519467.187572865,42.22940276962272
755805.25,7519484.905854272,42.8892394932665
755805.25,7519502.624135679,43.409421418634466
755805.25,7519520.342417086,43.81679393345918
755805.25,7519538.060698492,44.217807886351125
755805.25,7519555.778979899,44.72795845114172
755805.25,7519573.497261306,45.439128611434384
755805.25,7519591.215542714,48.23679202013996
755805.25,7519608.933824121,54.2502383666188
755805.25,7519626.652105528,60.29930828370608
755805.25,7519644.370386935,66.16738753597662
755805.25,7519662.088668342,71.61051320566608
755805.25,7519679.806949749,76.41414989604118
755805.25,7519697.525231156,80.450834050228
755805.25,7519715.2435125625,83.71626358388218
755805.25,7519732.96179397,86.32377507772468
755805.25,7519750.680075377,88.46253316314346
755805.25,7519768.398356784,90.3455020259213
755805.25,7519786.116638191,91.53668755772314
755805.25,7519803.834919598,86.53177255283248
755805.25,7519821.553201005,81.72686985035182
755805.25,7519839.271482412,77.18597673400342
755805.25,7519856.989763819,72.94331186924708
755805.25,7519874.7080452265,69.01398712232802
755805.25,7519892.426326633,65.39996929203082
755805.25,7519910.14460804,62.09221705911769
755805.25,7519927.862889447,59.071169993521835
755805.25,7519945.581170854,56.30739667494446
755805.25,7519963.299452261,53.76378828660851
755805.25,7519981.017733668,51.40053598561132
755805.25,7519998.736015076,49.18267919826394
755805.25,7520016.454296483,47.086309473479794
755805.25,7520034.17257789,45.09867991053824
755805.25,7520051.890859297,43.21335070762183
755805.25,7520069.609140703,41.42551142026509
755805.25,7520087.32742211,39.729860689481924
755805.25,7520105.045703517,38.12025665557384
755805.25,7520122.763984924,36.589946342692656
755805.25,7520140.482266332,35.13182930666989
755805.25,7520158.200547739,33.738648842341846
755805.25,7520175.918829146,32.403137878187536
755805.25,7520193.637110553,31.118156634866633
755805.25,7520211.35539196,29.87685043967454
755805.25,7520229.073673367,28.672849727432503
755805.25,7520246.7919547735,27.500521275547097
755805.25,7520264.510236181,26.355257831767226
755805.25,7520282.228517588,25.233772642048155
755805.25,7520299.946798995,24.13435684276739
755805.25,7520317.665080402,23.057063127058022
755805.25,7520335.383361809,22.003792072593853
755805.25,7520353.101643216,20.97826974389921
755805.25,7520370.819924623,19.985911615973965
755805.25,7520388.53820603,19.033568117203465
755805.25,7520406.2564874375,18.1291447213243
755805.25,7520423.974768844,17.281090927207337
755805.25,7520441.693050251,16.497765134611527
755805.25,7520459.411331658,15.786711247433917
755805.25,7520477.129613065,15.153924306905859
755805.25,7520494.847894472,14.603220323533298
755805.25,7520512.566175879,14.135834748911265
755805.25,7520530.284457286,13.750336754976423
755805.25,7520548.002738694,13.44286963351599
755805.25,7520565.721020101,13.207644462611533
755805.25,7520583.439301508,13.037562854168549
755805.25,7520601.157582914,12.924842123617477
755805.25,7520618.875864321,12.86155151767375
