,POINT_X,POINT_Y,Ca
0,755452.6562,7518688.85,12.075144353476203
1,755473.9181376884,7518688.85,12.184844748918483
2,755495.1800753769,7518688.85,12.293911339565527
3,755516.4420130653,7518688.85,12.402188474232107
4,755537.7039507538,7518688.85,12.509514902103184
5,755558.9658884421,7518688.85,12.615724546961657
6,755580.2278261306,7518688.85,12.72064746853786
7,755601.489763819,7518688.85,12.824111028703502
8,755622.7517015075,7518688.85,12.925941278421163
9,755644.0136391959,7518688.85,13.025964578410326
10,755665.2755768844,7518688.85,13.124009462357556
11,755686.5375145728,7518688.85,13.219908746082657
12,755707.7994522613,7518688.85,13.31350187943629
13,755729.0613899498,7518688.85,13.404637529991179
14,755750.3233276382,7518688.85,13.493176379073311
15,755771.5852653265,7518688.85,13.57899410174468
16,755792.847203015,7518688.85,13.661984493473977
17,755814.1091407035,7518688.85,13.742062697905146
18,755835.3710783919,7518688.85,13.819168482857307
19,755856.6330160804,7518688.85,13.893269505725556
20,755877.8949537688,7518688.85,13.9643645049285
21,755899.1568914573,7518688.85,14.032486350636665
22,755920.4188291457,7518688.85,14.097704884997833
23,755941.6807668342,7518688.85,14.16012947820549
24,755962.9427045226,7518688.85,14.219911220282293
25,755984.204642211,7518688.85,14.277244657147342
26,756005.4665798994,7518688.85,14.332368960818625
27,756026.7285175879,7518688.85,14.385568394677284
28,756047.9904552763,7518688.85,14.437171892880354
29,756069.2523929648,7518688.85,14.487551515863162
30,756090.5143306532,7518688.85,14.537119469954394
31,756111.7762683417,7518688.85,14.58632328839938
32,756133.0382060301,7518688.85,14.63563866597911
33,756154.3001437186,7518688.85,14.685559326095921
34,756175.562081407,7518688.85,14.73658318945979
35,756196.8240190954,7518688.85,14.789194027204006
36,756218.0859567838,7518688.85,14.84383774929801
37,756239.3478944723,7518688.85,14.900892546531734
38,756260.6098321608,7518688.85,14.960632332326812
39,756281.8717698492,7518688.85,15.023183395135034
40,756303.1337075377,7518688.85,15.088474955518269
41,756324.3956452261,7518688.85,15.156185491806145
42,756345.6575829146,7518688.85,15.225688269563559
43,756366.919520603,7518688.85,15.29600139033319
44,756388.1814582915,7518688.85,15.365749604126394
45,756409.4433959798,7518688.85,15.433146647739676
46,756430.7053336683,7518688.85,15.496007361267791
47,756451.9672713567,7518688.85,15.551797690146026
48,756473.2292090452,7518688.85,15.597727565966075
49,756494.4911467336,7518688.85,15.630886762424991
50,756515.7530844221,7518688.85,15.648417876064983
51,756537.0150221105,7518688.85,15.647714563198518
52,756558.276959799,7518688.85,15.626627855047921
53,756579.5388974875,7518688.85,15.583659217621621
54,756600.8008351759,7518688.85,15.518116564254807
55,756622.0627728642,7518688.85,15.430209895572336
56,756643.3247105527,7518688.85,15.321068368440724
57,756664.5866482412,7518688.85,15.192671275451135
58,756685.8485859296,7518688.85,15.047700116033576
59,756707.1105236181,7518688.85,14.889333507917135
60,756728.3724613065,7518688.85,14.721016196428911
61,756749.634398995,7518688.85,14.546234834593397
62,756770.8963366834,7518688.85,14.368326893306664
63,756792.1582743719,7518688.85,14.190338188736359
64,756813.4202120603,7518688.85,14.01493311063705
65,756834.6821497487,7518688.85,13.844352744705686
66,756855.9440874371,7518688.85,13.680410974494253
67,756877.2060251256,7518688.85,13.524517063182726
68,756898.467962814,7518688.85,13.377714086277681
69,756919.7299005025,7518688.85,13.240724718654883
70,756940.9918381909,7518688.85,13.113998340456824
71,756962.2537758794,7518688.85,12.997755656519823
72,756983.5157135678,7518688.85,12.892028782202681
73,757004.7776512563,7518688.85,12.796696001575295
74,757026.0395889448,7518688.85,12.711511223423303
75,757047.3015266331,7518688.85,12.636128650892097
76,757068.5634643215,7518688.85,12.570123439113795
77,757089.82540201,7518688.85,12.513009214943253
78,757111.0873396985,7518688.85,12.46425331967772
79,757132.3492773869,7518688.85,12.423290531637546
80,757153.6112150754,7518688.85,12.389535836307395
81,757174.8731527638,7518688.85,12.362396534491838
82,757196.1350904523,7518688.85,12.341283611056852
83,757217.3970281407,7518688.85,12.325621836130583
84,757238.6589658292,7518688.85,12.314857566882765
85,757259.9209035175,7518688.85,12.308462726329093
86,757281.182841206,7518688.85,12.305933071752271
87,757302.4447788944,7518688.85,12.306778811172542
88,757323.7067165829,7518688.85,12.310506139349634
89,757344.9686542713,7518688.85,12.316589662821173
90,757366.2305919598,7518688.85,12.32443826259007
91,757387.4925296482,7518688.85,12.333360764694545
92,757408.7544673367,7518688.85,12.342542287690579
93,757430.0164050251,7518688.85,12.351045636777332
94,757451.2783427136,7518688.85,12.35785166137726
95,757472.5402804019,7518688.85,12.361944750010514
96,757493.8022180904,7518688.85,12.362433425548646
97,757515.0641557788,7518688.85,12.35867558607181
98,757536.3260934673,7518688.85,12.350363813656415
99,757557.5880311558,7518688.85,12.337529987014825
100,757578.8499688442,7518688.85,12.320453477852617
101,757600.1119065327,7518688.85,12.299492929107402
102,757621.3738442211,7518688.85,12.274889532001529
103,757642.6357819096,7518688.85,12.246596943012268
104,757663.897719598,7518688.85,12.214180601887998
105,757685.1596572864,7518688.85,12.176808618669474
106,757706.4215949748,7518688.85,12.13333901831069
107,757727.6835326633,7518688.85,12.08249809744936
108,757748.9454703517,7518688.85,12.023138055312106
109,757770.2074080402,7518688.85,11.954550921676521
110,757791.4693457286,7518688.85,11.876794391873316
111,757812.7312834171,7518688.85,11.79095695359373
112,757833.9932211055,7518688.85,11.699270526906398
113,757855.255158794,7518688.85,11.604990605248906
114,757876.5170964825,7518688.85,11.512018484739997
115,757897.7790341708,7518688.85,11.424325249340027
