"x","y","median","sd","q0.025","q0.975","cv"
756908.509276245,7518103.66857062,15.0510456785255,23.0485485988221,4.06646620457498,86.3474780202515,1.00319973238493
756934.854332265,7518103.66857062,14.5368728688317,20.3687584797981,4.13665568663259,71.1720118939454,0.936672570013998
756961.199388284,7518103.66857062,14.3669355494998,18.3847609619371,3.88544768277883,58.687288048827,0.882949621821849
756987.544444303,7518103.66857062,13.6799971273175,17.040661835556,3.38808491769145,61.8733976551865,0.844418553262432
757013.889500322,7518103.66857062,14.2924893347891,16.3202899874084,2.92879296799315,63.8842141521483,0.823934177902711
757040.234556341,7518103.66857062,15.4988980556673,16.2510085852054,2.68620416937841,60.874079593209,0.824891592445215
757066.57961236,7518103.66857062,15.5106243052364,16.9110021902782,2.41693577015719,63.4184356042131,0.851241241026039
757092.924668379,7518103.66857062,15.0917893128977,18.4407337230941,2.22373462046061,73.3403420515672,0.907400463269164
757119.269724398,7518103.66857062,14.9818729292994,18.2041512682881,2.48355401736408,67.3168490266829,0.894678518412594
757145.614780417,7518103.66857062,15.5359230556138,17.7686699632202,2.90858972340352,63.5119534838098,0.870770217304487
757171.959836436,7518103.66857062,16.2140218118857,17.7128618213987,3.40461533941033,60.9407824145801,0.857221347792819
757198.304892455,7518103.66857062,17.1175878232693,18.0613321073949,3.62039553928062,59.4114944636346,0.854700089838676
757224.649948474,7518103.66857062,18.2807362208792,18.8622970578723,3.87393617645488,64.0693845006573,0.864036768163265
757250.995004494,7518103.66857062,17.2616869159738,20.1904742838568,3.77436995952344,72.6687224466397,0.88612165442414
757277.340060513,7518103.66857062,16.7695509049288,22.1507231252626,3.46245084798901,80.900863942686,0.921755233817046
757303.685116532,7518103.66857062,16.8760774126782,24.8830154918784,3.11829112098203,85.0391100078631,0.97148717394897
757330.030172551,7518103.66857062,16.8998795799594,23.5666437706433,3.45255436566253,80.4801966726415,0.938548917654604
757356.37522857,7518103.66857062,17.0844807721275,21.6309603045981,3.94107178740274,77.3254804402207,0.890920155247675
757382.720284589,7518103.66857062,16.558844467999,19.9293218427227,4.20752761133294,74.3056024593824,0.846162057688207
