,POINT_X,POINT_Y,Ca
0,755452.6562,7518688.85,9.060748971934753
1,755473.9181376884,7518688.85,9.144320442532969
2,755495.1800753769,7518688.85,9.227424277259175
3,755516.4420130653,7518688.85,9.309945462648367
4,755537.7039507538,7518688.85,9.391765184483049
5,755558.9658884421,7518688.85,9.472761310541594
6,755580.2278261306,7518688.85,9.552808948850748
7,755601.489763819,7518688.85,9.631781081491646
8,755622.7517015075,7518688.85,9.70954927295636
9,755644.0136391959,7518688.85,9.785984451025305
10,755665.2755768844,7518688.85,9.860957757258756
11,755686.5375145728,7518688.85,9.93434146350155
12,755707.7994522613,7518688.85,10.006009950365975
13,755729.0613899498,7518688.85,10.075840743528701
14,755750.3233276382,7518688.85,10.143715603870907
15,755771.5852653265,7518688.85,10.209521667985918
16,755792.847203015,7518688.85,10.273152636299677
17,755814.1091407035,7518688.85,10.334510006830024
18,755835.3710783919,7518688.85,10.393504353238887
19,755856.6330160804,7518688.85,10.450056645900267
20,755877.8949537688,7518688.85,10.504099613775402
21,755899.1568914573,7518688.85,10.555579142273638
22,755920.4188291457,7518688.85,10.604455697175984
23,755941.6807668342,7518688.85,10.650705756078736
24,755962.9427045226,7518688.85,10.694323215435839
25,755984.204642211,7518688.85,10.735320721663012
26,756005.4665798994,7518688.85,10.773730847209661
27,756026.7285175879,7518688.85,10.809606995090945
28,756047.9904552763,7518688.85,10.84302386611206
29,756069.2523929648,7518688.85,10.874077259975564
30,756090.5143306532,7518688.85,10.902882903272774
31,756111.7762683417,7518688.85,10.929573903840005
32,756133.0382060301,7518688.85,10.954296324423987
33,756154.3001437186,7518688.85,10.977202255784821
34,756175.562081407,7518688.85,10.99843966439463
35,756196.8240190954,7518688.85,11.018138218356915
36,756218.0859567838,7518688.85,11.036390299165545
37,756239.3478944723,7518688.85,11.053226550021973
38,756260.6098321608,7518688.85,11.068585681245981
39,756281.8717698492,7518688.85,11.082278956710516
40,756303.1337075377,7518688.85,11.093950928721453
41,756324.3956452261,7518688.85,11.103039634236003
42,756345.6575829146,7518688.85,11.10874155387132
43,756366.919520603,7518688.85,11.109988883746311
44,756388.1814582915,7518688.85,11.105448473899182
45,756409.4433959798,7518688.85,11.093552202047679
46,756430.7053336683,7518688.85,11.072566469355271
47,756451.9672713567,7518688.85,11.040703105574643
48,756473.2292090452,7518688.85,10.99626540034121
49,756494.4911467336,7518688.85,10.937812933754357
50,756515.7530844221,7518688.85,10.864320572473218
51,756537.0150221105,7518688.85,10.77530407047055
52,756558.276959799,7518688.85,10.670889371285359
53,756579.5388974875,7518688.85,10.55181413837925
54,756600.8008351759,7518688.85,10.419364403728729
55,756622.0627728642,7518688.85,10.275261527712688
56,756643.3247105527,7518688.85,10.121521315867556
57,756664.5866482412,7518688.85,9.960307435197015
58,756685.8485859296,7518688.85,9.79379697967179
59,756707.1105236181,7518688.85,9.624069792699546
60,756728.3724613065,7518688.85,9.453027058789212
61,756749.634398995,7518688.85,9.282339783414551
62,756770.8963366834,7518688.85,9.113424358580788
63,756792.1582743719,7518688.85,8.947440371054292
64,756813.4202120603,7518688.85,8.785304946737508
65,756834.6821497487,7518688.85,8.627717983614264
66,756855.9440874371,7518688.85,8.475193311344594
67,756877.2060251256,7518688.85,8.328091825992194
68,756898.467962814,7518688.85,8.186653728285783
69,756919.7299005025,7518688.85,8.05102797218585
70,756940.9918381909,7518688.85,7.921297824791664
71,756962.2537758794,7518688.85,7.797502034496296
72,756983.5157135678,7518688.85,7.679651526036871
73,757004.7776512563,7518688.85,7.567741826576711
74,757026.0395889448,7518688.85,7.461761612621175
75,757047.3015266331,7518688.85,7.361697882926331
76,757068.5634643215,7518688.85,7.267538330970998
77,757089.82540201,7518688.85,7.17927153257458
78,757111.0873396985,7518688.85,7.096885600551525
79,757132.3492773869,7518688.85,7.020366011084651
80,757153.6112150754,7518688.85,6.9496933976786135
81,757174.8731527638,7518688.85,6.884842255402643
82,757196.1350904523,7518688.85,6.8257817050332354
83,757217.3970281407,7518688.85,6.772479712979425
84,757238.6589658292,7518688.85,6.724912385265204
85,757259.9209035175,7518688.85,6.683080022806585
86,757281.182841206,7518688.85,6.647031315105581
87,757302.4447788944,7518688.85,6.61689600822803
88,757323.7067165829,7518688.85,6.592924121147621
89,757344.9686542713,7518688.85,6.575525734640017
90,757366.2305919598,7518688.85,6.565299119558128
91,757387.4925296482,7518688.85,6.563026764937872
92,757408.7544673367,7518688.85,6.569610556185087
93,757430.0164050251,7518688.85,6.58591342174454
94,757451.2783427136,7518688.85,6.612482593170596
95,757472.5402804019,7518688.85,6.64915725751542
96,757493.8022180904,7518688.85,6.694613447727517
97,757515.0641557788,7518688.85,6.745960407254143
98,757536.3260934673,7518688.85,6.798546830737518
99,757557.5880311558,7518688.85,6.846125950318224
100,757578.8499688442,7518688.85,6.881444755778844
101,757600.1119065327,7518688.85,6.897182900335746
102,757621.3738442211,7518688.85,6.88702993774343
103,757642.6357819096,7518688.85,6.846626701080169
104,757663.897719598,7518688.85,6.774146251414926
105,757685.1596572864,7518688.85,6.6704262497147155
106,757706.4215949748,7518688.85,6.538710659481903
107,757727.6835326633,7518688.85,6.384139826354721
108,757748.9454703517,7518688.85,6.2131243020700655
109,757770.2074080402,7518688.85,6.032688318911539
110,757791.4693457286,7518688.85,5.849829568811094
111,757812.7312834171,7518688.85,5.670939448324576
112,757833.9932211055,7518688.85,5.501345182387818
113,757855.255158794,7518688.85,5.345035016617919
114,757876.5170964825,7518688.85,5.204590838259768
115,757897.7790341708,7518688.85,5.081297339985442
