"POINT_X","POINT_Y","Ca"
755805.25,7518297.781,30.370014682129835
755805.25,7518315.499281407,30.385582607136456
755805.25,7518333.217562814,30.399307045182812
755805.25,7518350.935844221,30.411114810013686
755805.25,7518368.654125629,30.420931351656037
755805.25,7518386.372407036,30.428680969513394
755805.25,7518404.090688443,30.434287062062978
755805.25,7518421.80896985,30.437672415392413
755805.25,7518439.527251257,30.438759532492682
755805.25,7518457.245532664,30.437471004567627
755805.25,7518474.96381407,30.433729924962464
755805.25,7518492.682095477,30.427460345153804
755805.25,7518510.400376885,30.418587771124578
755805.25,7518528.118658292,30.407039696786512
755805.25,7518545.836939699,30.39274616924925
755805.25,7518563.555221106,30.375640378484704
755805.25,7518581.273502513,30.355659261315946
755805.25,7518598.99178392,30.33274410669003
755805.25,7518616.710065327,30.306841145856893
755805.25,7518634.428346734,30.277902107444863
755805.25,7518652.146628141,30.245884713545802
755805.25,7518669.864909548,30.21075308893819
755805.25,7518687.583190955,30.172478051581827
755805.25,7518705.301472362,30.131037248819688
755805.25,7518723.019753769,30.08641510046105
755805.25,7518740.738035176,30.038602507537277
755805.25,7518758.456316583,29.98759628435541
755805.25,7518776.174597991,29.93339827199381
755805.25,7518793.892879398,29.87601409431472
755805.25,7518811.6111608045,29.815451523038043
755805.25,7518829.329442211,29.751718428077503
755805.25,7518847.047723618,29.684820302908847
755805.25,7518864.766005025,29.61475737389779
755805.25,7518882.484286432,29.541521328103542
755805.25,7518900.202567839,29.465091727067097
755805.25,7518917.920849247,29.38543221609749
755805.25,7518935.639130654,29.3024866911191
755805.25,7518953.357412061,29.2161756501337
755805.25,7518971.075693468,29.126393036564025
755805.25,7518988.793974875,29.03198280962332
755805.25,7519006.512256281,28.75829006934764
755805.25,7519024.230537688,28.200818811702014
755805.25,7519041.948819095,27.407696250249632
755805.25,7519059.667100503,26.443167898774757
755805.25,7519077.38538191,25.381909569793752
755805.25,7519095.103663317,24.301456313595082
755805.25,7519112.821944724,23.27432124069969
755805.25,7519130.540226131,22.361435580923843
755805.25,7519148.258507538,21.60805049840169
755805.25,7519165.976788945,21.042456176649818
755805.25,7519183.695070352,20.677143782638016
755805.25,7519201.413351759,20.51160423200197
755805.25,7519219.131633166,20.53587358287341
755805.25,7519236.849914573,20.734098513755047
755805.25,7519254.56819598,21.08765805662199
755805.25,7519272.286477387,21.577619363866706
755805.25,7519290.004758794,22.18645971955622
755805.25,7519307.723040201,22.899032970671964
755805.25,7519325.441321609,23.70271428580451
755805.25,7519343.1596030155,24.586668930161995
755805.25,7519360.877884422,25.541359188103737
755805.25,7519378.596165829,26.58377925480804
755805.25,7519396.314447236,28.283606687662598
755805.25,7519414.032728643,30.343356901683418
755805.25,7519431.75101005,32.31301350964355
755805.25,7519449.469291457,34.12940194969794
755805.25,7519467.187572865,35.68948603042249
755805.25,7519484.905854272,36.95834731289152
755805.25,7519502.624135679,38.252147818305374
755805.25,7519520.342417086,39.238503531945454
755805.25,7519538.060698492,39.95419853541772
755805.25,7519555.778979899,40.46859877715427
755805.25,7519573.497261306,40.83715184926264
755805.25,7519591.215542714,42.68840161780951
755805.25,7519608.933824121,46.86945528632961
755805.25,7519626.652105528,50.579909762797925
755805.25,7519644.370386935,53.7010875347479
755805.25,7519662.088668342,56.09974908108671
755805.25,7519679.806949749,57.658109124504456
755805.25,7519697.525231156,58.31242536661999
755805.25,7519715.2435125625,58.083169266709376
755805.25,7519732.96179397,57.077965241034796
755805.25,7519750.680075377,55.46680002691279
755805.25,7519768.398356784,53.44771040153096
755805.25,7519786.116638191,51.220335711698965
755805.25,7519803.834919598,48.972429505530826
755805.25,7519821.553201005,46.83539070487442
755805.25,7519839.271482412,44.731133844649094
755805.25,7519856.989763819,42.70160578228407
755805.25,7519874.7080452265,40.79747421667905
755805.25,7519892.426326633,39.00268120536147
755805.25,7519910.14460804,37.353617639772054
755805.25,7519927.862889447,35.89616496608808
755805.25,7519945.581170854,34.66169823426522
755805.25,7519963.299452261,33.66570228463461
755805.25,7519981.017733668,32.90518931759514
755805.25,7519998.736015076,32.35696808919092
755805.25,7520016.454296483,31.980745866718134
755805.25,7520034.17257789,31.727823451806287
755805.25,7520051.890859297,31.550581343358324
755805.25,7520069.609140703,31.408350096794663
755805.25,7520087.32742211,31.269487288319283
755805.25,7520105.045703517,31.111277556388064
755805.25,7520122.763984924,30.918831022638702
755805.25,7520140.482266332,30.683583034978092
755805.25,7520158.200547739,30.401771868120818
755805.25,7520175.918829146,30.0731591411797
755805.25,7520193.637110553,29.700118362972763
755805.25,7520211.35539196,29.287064336263896
755805.25,7520229.073673367,28.84009486593841
755805.25,7520246.7919547735,28.3667009892801
755805.25,7520264.510236181,27.86511777862937
755805.25,7520282.228517588,27.310120552990284
755805.25,7520299.946798995,26.705638629835903
755805.25,7520317.665080402,26.066527544555466
755805.25,7520335.383361809,25.466868853778465
755805.25,7520353.101643216,24.927118460666087
755805.25,7520370.819924623,24.45488557217977
755805.25,7520388.53820603,24.057476803724516
755805.25,7520406.2564874375,23.740688670607867
755805.25,7520423.974768844,23.507509765074527
755805.25,7520441.693050251,23.356859821686633
755805.25,7520459.411331658,23.282562085382008
755805.25,7520477.129613065,23.27278101340276
755805.25,7520494.847894472,23.310131510260337
755805.25,7520512.566175879,23.372565557091775
755805.25,7520530.284457286,23.434978710899035
755805.25,7520548.002738694,23.471292220464836
755805.25,7520565.721020101,23.456726297346542
755805.25,7520583.439301508,23.36950483408641
755805.25,7520601.157582914,23.190350045898295
755805.25,7520618.875864321,22.905451272599624
755805.25,7520636.594145728,22.50643413671486
755805.25,7520654.312427135,21.989115375890613
755805.25,7520672.030708543,21.35188491824957
755805.25,7520689.74898995,20.594126948821145
755805.25,7520707.467271357,19.760640984113174
