"POINT_X","POINT_Y","Ca"
755805.25,7518297.781,52.532695872454966
755805.25,7518315.499281407,52.29977638644897
755805.25,7518333.217562814,52.06545759885243
755805.25,7518350.935844221,51.829732620851054
755805.25,7518368.654125629,51.592600845321066
755805.25,7518386.372407036,51.354068837152845
755805.25,7518404.090688443,51.1141512981413
755805.25,7518421.80896985,50.872872107392
755805.25,7518439.527251257,50.63026543679482
755805.25,7518457.245532664,50.38637693993867
755805.25,7518474.96381407,50.14126501045838
755805.25,7518492.682095477,49.89500210395502
755805.25,7518510.400376885,49.647676114914525
755805.25,7518528.118658292,49.399391796468564
755805.25,7518545.836939699,49.150272207561684
755805.25,7518563.555221106,48.90046016756057
755805.25,7518581.273502513,48.650119693477066
755805.25,7518598.99178392,48.39943738936491
755805.25,7518616.710065327,48.148623751562944
755805.25,7518634.428346734,47.89791434613266
755805.25,7518652.146628141,47.6475708077871
755805.25,7518669.864909548,47.397881601716136
755805.25,7518687.583190955,47.14916248030411
755805.25,7518705.301472362,46.90175655918282
755805.25,7518723.019753769,46.65603392640544
755805.25,7518740.738035176,46.41239068996578
755805.25,7518758.456316583,46.17124735933888
755805.25,7518776.174597991,45.93304644703284
755805.25,7518793.892879398,45.698249167690065
755805.25,7518811.6111608045,45.46733110336804
755805.25,7518829.329442211,45.24077669572706
755805.25,7518847.047723618,45.01907241798167
755805.25,7518864.766005025,44.802698472304705
755805.25,7518882.484286432,44.59211885003664
755805.25,7518900.202567839,44.38776958349051
755805.25,7518917.920849247,44.190045006695684
755805.25,7518935.639130654,43.99928182625355
755805.25,7518953.357412061,43.81574078035587
755805.25,7518971.075693468,43.639585629830066
755805.25,7518988.793974875,43.47008045301723
755805.25,7519006.512256281,43.17460551688293
755805.25,7519024.230537688,42.67567812578128
755805.25,7519041.948819095,42.01205476725273
755805.25,7519059.667100503,41.23388936249115
755805.25,7519077.38538191,40.39810852444465
755805.25,7519095.103663317,39.562465169076404
755805.25,7519112.821944724,38.7794886149331
755805.25,7519130.540226131,38.09155029658645
755805.25,7519148.258507538,37.527854658681505
755805.25,7519165.976788945,37.103551175271136
755805.25,7519183.695070352,36.82061249412212
755805.25,7519201.413351759,36.66981191314072
755805.25,7519219.131633166,36.63308754653877
755805.25,7519236.849914573,36.68571862003101
755805.25,7519254.56819598,36.79795128523438
755805.25,7519272.286477387,36.935921206038564
755805.25,7519290.004758794,37.06191198727224
755805.25,7519307.723040201,37.13420991792496
755805.25,7519325.441321609,37.10718480066356
755805.25,7519343.1596030155,36.933059968106214
755805.25,7519360.877884422,36.57052364379008
755805.25,7519378.596165829,36.070656539684634
755805.25,7519396.314447236,37.04596981910189
755805.25,7519414.032728643,38.81826446195932
755805.25,7519431.75101005,40.30916980711743
755805.25,7519449.469291457,41.47618794012736
755805.25,7519467.187572865,42.32675531387217
755805.25,7519484.905854272,42.926696560395236
755805.25,7519502.624135679,43.49749767673953
755805.25,7519520.342417086,43.93415666833512
755805.25,7519538.060698492,44.32184512622835
755805.25,7519555.778979899,44.779936480448995
755805.25,7519573.497261306,45.45350617616964
755805.25,7519591.215542714,48.359230270418834
755805.25,7519608.933824121,54.81656485049749
755805.25,7519626.652105528,61.3910427960779
755805.25,7519644.370386935,67.74523250852204
755805.25,7519662.088668342,73.54870846888801
755805.25,7519679.806949749,78.54377201981467
755805.25,7519697.525231156,82.59231570496243
755805.25,7519715.2435125625,85.69781048087569
755805.25,7519732.96179397,87.9890368867482
755805.25,7519750.680075377,89.67959477827624
755805.25,7519768.398356784,91.02578539383371
755805.25,7519786.116638191,91.7199354839715
755805.25,7519803.834919598,88.4499305665097
755805.25,7519821.553201005,84.77634543841825
755805.25,7519839.271482412,80.6793290977533
755805.25,7519856.989763819,76.25766062084249
755805.25,7519874.7080452265,71.72064298419372
755805.25,7519892.426326633,67.14317577821794
755805.25,7519910.14460804,62.846817701090735
755805.25,7519927.862889447,59.10734330387426
755805.25,7519945.581170854,55.99455715549742
755805.25,7519963.299452261,53.12578875194185
755805.25,7519981.017733668,50.36505518474669
755805.25,7519998.736015076,47.626224142945674
755805.25,7520016.454296483,44.83081336530458
755805.25,7520034.17257789,41.92020397086193
755805.25,7520051.890859297,38.86672735191881
755805.25,7520069.609140703,35.690676584765626
755805.25,7520087.32742211,32.48206748423215
755805.25,7520105.045703517,29.4082604006618
755805.25,7520122.763984924,26.680337999713856
755805.25,7520140.482266332,24.475331047072626
755805.25,7520158.200547739,22.857929198930524
755805.25,7520175.918829146,21.49849140144336
755805.25,7520193.637110553,20.169922569585204
755805.25,7520211.35539196,18.869788448894628
755805.25,7520229.073673367,17.594742878068296
755805.25,7520246.7919547735,16.3411875868598
755805.25,7520264.510236181,15.105774954196866
755805.25,7520282.228517588,13.885787591876547
755805.25,7520299.946798995,12.679407640492844
755805.25,7520317.665080402,11.48982718414542
755805.25,7520335.383361809,10.348688346381337
755805.25,7520353.101643216,9.270667969913257
755805.25,7520370.819924623,8.26602941155904
755805.25,7520388.53820603,7.345549272328373
755805.25,7520406.2564874375,6.519880639165291
755805.25,7520423.974768844,5.798602294052291
755805.25,7520441.693050251,5.1890378093971075
755805.25,7520459.411331658,4.694990975832179
755805.25,7520477.129613065,4.315613129803311
755805.25,7520494.847894472,4.044663516255518
755805.25,7520512.566175879,3.870404259220814
755805.25,7520530.284457286,3.776257616731169
755805.25,7520548.002738694,3.7421596147220666
755805.25,7520565.721020101,3.74699447804604
